Run,Rep,ID,Cultivar,Measurement ,Lesion 
5,1,101,386-14-1,2,136.625
5,1,102,51-23,2,68.055
5,1,103,1212R2X,2,78.02
5,1,104,LS1172LLN,2,80.15
5,1,105,386-48-3,2,66.19333333
5,1,106,386-56-1,2,86.14
5,1,107,52-82B,2,84.83
5,1,108,386-61-3,2,133.5966667
5,1,109,WS16-9138,2,7.656666667
5,1,110,LS23X6632n,2,.
5,1,111,W82,2,106.735
5,1,112,SSR51-70,2,9.303333333
5,1,113,3115L,2,83.14666667
5,1,114,Dwight,2,160.2966667
5,1,115,386-62-1,2,147.8
5,2,201,386-62-1,2,122.7833333
5,2,202,LS23X6632n,2,.
5,2,203,386-61-3,2,98.4
5,2,204,W82,2,124.6
5,2,205,Dwight,2,52.515
5,2,206,386-14-1,2,11.63
5,2,207,SSR51-70,2,44.815
5,2,208,1212R2X,2,122.46
5,2,209,3115L,2,39.14333333
5,2,210,52-82B,2,22.24
5,2,211,WS16-9138,2,94.15666667
5,2,212,386-56-1,2,155.03
5,2,213,386-48-3,2,133.9566667
5,2,214,51-23,2,8.78
5,2,215,LS1172LLN,2,111.4633333
5,3,301,W82,2,97.27333333
5,3,302,386-62-1,2,133.66
5,3,303,52-82B,2,29.91
5,3,304,386-48-3,2,113.4233333
5,3,305,3115L,2,143.5033333
5,3,306,Dwight,2,120.9266667
5,3,307,LS23X6632n,2,.
5,3,308,51-23,2,37.68666667
5,3,309,386-56-1,2,126.72
5,3,310,1212R2X,2,9.54
5,3,311,386-14-1,2,116.085
5,3,312,386-61-3,2,113.0733333
5,3,313,LS1172LLN,2,83.86
5,3,314,WS16-9138,2,48.325
5,3,315,SSR51-70,2,21.27333333
5,4,401,SSR51-70,2,75.525
5,4,402,386-56-1,2,84.52
5,4,403,386-14-1,2,127.835
5,4,404,3115L,2,57.33666667
5,4,405,LS23X6632n,2,.
5,4,406,386-61-3,2,123.2033333
5,4,407,Dwight,2,148.615
5,4,408,386-62-1,2,167.4233333
5,4,409,386-48-3,2,59.3
5,4,410,LS1172LLN,2,94.95
5,4,411,51-23,2,34.67333333
5,4,412,WS16-9138,2,9.07
5,4,413,1212R2X,2,15.11
5,4,414,52-82B,2,8.563333333
5,4,415,W82,2,130.4733333
5,1,101,386-14-1,3,193.97
5,1,102,51-23,3,147.145
5,1,103,1212R2X,3,147.75
5,1,104,LS1172LLN,3,123.75
5,1,105,386-48-3,3,107.05
5,1,106,386-56-1,3,163.54
5,1,107,52-82B,3,136.7333333
5,1,108,386-61-3,3,185.8633333
5,1,109,WS16-9138,3,7.67
5,1,110,LS23X6632n,3,.
5,1,111,W82,3,208.7
5,1,112,SSR51-70,3,8.65
5,1,113,3115L,3,128.29
5,1,114,Dwight,3,270.0366667
5,1,115,386-62-1,3,250.2533333
5,2,201,386-62-1,3,190.7666667
5,2,202,LS23X6632n,3,.
5,2,203,386-61-3,3,214.95
5,2,204,W82,3,189.88
5,2,205,Dwight,3,90.35
5,2,206,386-14-1,3,10.33
5,2,207,SSR51-70,3,66.705
5,2,208,1212R2X,3,162.92
5,2,209,3115L,3,55.12333333
5,2,210,52-82B,3,43.38
5,2,211,WS16-9138,3,132.36
5,2,212,386-56-1,3,243.87
5,2,213,386-48-3,3,205.63
5,2,214,51-23,3,8.01
5,2,215,LS1172LLN,3,109.74
5,3,301,W82,3,218.205
5,3,302,386-62-1,3,161.94
